post_id,tokenization
10162593113174988,"[['``', 'I', 'really', 'cherish', 'the', 'time', 'I', 'had', 'with', 'my', 'second', 'daughter', '.'], ['I', 'definitely', 'feel', 'that', 'we', 'got', 'to', 'bond', 'a', 'lot', '.', ""''""], ['|', 'ABC', 'EVERYDAY', '``', 'I', 'really', 'cherish', 'the', 'time', 'I', 'had', 'with', 'my', 'second', 'daughter', '.'], ['``', '|', 'ABC', 'EVERYDAY', 'ABC.NET.AU', 'Why', 'Tarun', 'wishes', 'hed', 'taken', 'parental', 'leave', 'for', 'his', 'first', 'baby', 'Tarun', 'Rajan', 'took', 'advantage', 'of', 'his', 'employers', 'generous', 'paid', 'parental', 'leave', 'scheme', '—', 'and', 'hes', 'so', 'glad', 'he', 'did', '.', ""''""], ['``', 'His', 'only', 'regret', 'is', 'that', 'he', 'didnt', 'know', 'about', 'it', 'when', 'his', 'first', 'child', 'was', 'born', '.', ""''""]]"
10162596423219988,"[['We', 'know', 'very', 'little', 'about', 'our', 'mysterious', 'planetary', 'neighbour', '.'], ['Here', 'is', 'what', 'the', 'two', 'newly', 'announced', 'missions', 'to', 'Venus', 'will', 'aim', 'to', 'find', 'out', '.'], ['ABC.NET.AU', 'Why', 'is', 'NASA', 'suddenly', 'so', 'keen', 'on', 'Venus', '?'], ['Here', 'are', 'five', 'reasons']]"
10162596421924988,"[['``', 'Forty-four', 'climbers', 'claim', 'to', 'have', 'achieved', 'the', 'stunning', 'feat', 'of', 'climbing', 'to', 'the', 'peak', 'of', '14', 'of', 'the', 'worlds', 'highest', 'mountains', '.', ""''""], ['``', 'But', 'Australian', 'Damien', 'Gildea', 'says', 'theres', 'a', 'question', 'mark', 'over', 'almost', 'all', 'of', 'them', '.', ""''""], ['``', 'ABC.NET.AU', 'Only', '44', 'climbers', 'claim', 'to', 'have', 'reached', 'the', 'worlds', '14', 'highest', 'peaks', '.', ""''""], ['But', 'did', 'they', 'really', 'get', 'there', '?']]"
10162596420089988,"[['``', 'As', 'claimants', 'continue', 'to', 'line', 'up', ',', 'the', 'payout', 'from', 'the', 'successful', 'class', 'action', 'against', 'the', 'federal', 'governments', 'live', 'export', 'ban', 'in', '2011', 'seems', 'likely', 'to', 'soar', 'well', 'past', 'the', 'initial', '$', '600', 'million', 'estimate', '.', ""''""], ['``', 'ABC.NET.AU', 'Governments', 'unlawful', 'live', 'export', 'ban', 'set', 'to', 'cost', 'around', '$', '800m', ',', 'as', 'more', 'cattle', 'producers', 'rally', 'for', 'class', 'action', ""''""]]"
10162596417319988,"[['With', 'its', 'showpiece', 'event', 'looming', ',', 'the', 'game', 'of', 'rugby', 'league', 'is', 'facing', 'an', 'existential', 'threat', 'over', 'its', 'level', 'of', 'physicality', 'and', 'the', 'long-term', 'health', 'of', 'players', '.'], ['ABC.NET.AU', 'ANALYSIS', ':', 'Is', 'rugby', 'league', 'facing', 'an', 'existential', 'crisis', '?']]"
10162596414999988,"[['The', 'social', 'media', 'company', 'plans', 'to', 'review', 'the', 'ban', 'at', 'the', 'end', 'of', 'the', 'two', 'years', 'and', 'will', 'end', 'a', 'policy', 'where', 'politicians', 'are', 'exempt', 'from', 'hate', 'speech', 'rules', '.'], ['``', 'ABC.NET.AU', 'Facebook', 'bans', 'Donald', 'Trump', 'for', 'two', 'years', 'for', 'public', 'safety', ""''""]]"
10162596413329988,"[['The', 'Reserve', 'Bank', 'is', 'throwing', 'just', 'about', 'everything', 'it', 'has', 'at', 'boosting', 'wages', 'and', 'inflation', ',', 'but', 'all', 'it', 'seems', 'to', 'be', 'achieving', 'are', 'surging', 'asset', 'prices', ',', 'further', 'widening', 'the', 'gap', 'between', 'the', 'haves', 'and', 'have-nots', '.'], ['ABC.NET.AU', 'ANALYSIS', ':', 'Are', 'your', 'future', 'pay', 'rises', 'destined', 'for', 'the', 'pockets', 'of', 'investors', '?']]"
10162596412019988,"[['``', 'Public', 'housing', 'tower', 'residents', 'who', 'endured', 'the', 'nations', 'harshest', 'hard', 'lockdown', 'last', 'year', 'say', 'they', 'are', 'concerned', 'not', 'enough', 'has', 'been', 'done', 'by', 'Victorian', 'authorities', 'to', 'support', 'the', 'communities', 'during', 'the', 'Melbourne', 'outbreak', '.', ""''""], ['ABC.NET.AU', 'Public', 'housing', 'residents', 'threatened', 'by', 'Delta', 'cluster', 'call', 'for', 'increased', 'tower', 'cleaning']]"
10162596410434988,"[['``', 'As', 'Chinese', 'authorities', 'push', 'urban', 'couples', 'to', 'have', 'three', 'children', 'to', 'boost', 'the', 'countrys', 'ailing', 'fertility', 'rates', ',', 'young', 'people', 'counter', 'with', 'a', 'lifestyle', 'centred', 'around', 'minimising', 'spending', ',', 'working', 'and', 'socialising', '.', ""''""], ['``', 'ABC.NET.AU', 'China', 'wants', 'more', 'babies', ',', 'but', 'young', 'people', 'are', 'lying', 'flat', ""''""]]"
10162596409349988,"[['Naomi', 'Moran', 'left', 'high', 'school', 'to', 'work', 'in', 'Indigenous', 'media', '.'], ['``', 'Now', 'shes', 'the', 'manager', 'of', 'the', 'Koori', 'Mail', 'and', 'chair', 'of', 'the', 'peak', 'body', 'for', 'Indigenous', 'not-for-profit', 'broadcasting', ',', 'media', ',', 'and', 'communications', '.', ""''""], ['``', 'ABC.NET.AU', 'Naomi', 'is', 'one', 'of', 'Indigenous', 'medias', 'most', 'important', 'voices', '.', ""''""], ['``', 'Heres', 'how', 'she', 'wants', 'to', 'empower', 'young', 'women', ""''""]]"
10162596408014988,"[['``', 'Four', 'years', 'after', 'a', 'fire', 'ripped', 'through', 'the', '24-storey', 'Grenfell', 'Tower', 'in', 'London', 'in', 'June', '2017', ',', 'claiming', '72', 'lives', ',', 'there', 'are', 'fresh', 'fears', 'about', 'the', 'opaque', 'nature', 'of', 'Australias', 'building', 'product', 'safety', 'approval', 'processes', '.', ""''""], ['ABC.NET.AU', 'Could', 'a', 'Grenfell', 'Tower', '2.0', 'disaster', 'happen', 'in', 'Australia', '?'], ['One', 'politician', 'fears', 'there', '’', 's', 'no', 'way', 'to', 'properly', 'check']]"
10162596404899988,"[['Bias', 'Ramadhan', 'received', 'calls', 'from', 'eight', 'separate', 'law', 'firms', 'offering', 'to', 'sue', 'on', 'his', 'behalf', 'after', 'his', 'mother', 'died', 'in', 'the', 'Lion', 'Air', 'plane', 'crash', '.'], ['``', 'But', 'two', 'and', 'half', 'years', 'later', ',', 'hes', 'had', 'to', 'sue', 'again', ',', 'to', 'get', 'some', 'of', 'the', 'money', 'owed', 'to', 'him', 'from', 'his', 'settlement', '.', ""''""], ['ABC.NET.AU', 'The', 'plane', 'crash', ',', 'the', 'Real', 'Housewife', 'and', 'the', 'missing', 'millions', ':', 'Why', 'Indonesian', 'families', 'claim', 'an', 'LA', 'lawyer', 'embezzled', 'their', 'money']]"
