post_id,text
10162596423219988,"[['PRP', 'know', 'very', 'little', 'IN', 'mysterious', 'planetary', 'neighbour'], ['here', 'be', 'WP', 'DT', 'CD', 'newly', 'announce', 'mission', 'TO', 'venus', 'MD', 'aim', 'TO', 'find', 'out'], ['WRB', 'be', 'nasa', 'suddenly', 'so', 'keen', 'IN', 'venus'], ['here', 'be', 'CD', 'reason']]"
10162596421924988,"[['climber', 'claim', 'TO', 'have', 'achieve', 'DT', 'stunning', 'feat', 'IN', 'climb', 'TO', 'DT', 'peak', 'IN', 'CD', 'IN', 'DT', 'world', 'high', 'mountain'], ['CC', 'australian', 'damien', 'gildea', 'say', 'theres', 'DT', 'question', 'mark', 'IN', 'almost', 'DT', 'IN', 'PRP'], ['only', 'CD', 'climber', 'claim', 'TO', 'have', 'reach', 'DT', 'world', 'CD', 'high', 'peak'], ['CC', 'do', 'PRP', 'really', 'get', 'there']]"
10162596420089988,"[['IN', 'claimant', 'continue', 'TO', 'line', 'up', 'DT', 'payout', 'IN', 'DT', 'successful', 'class', 'action', 'IN', 'DT', 'federal', 'government', 'live', 'export', 'ban', 'IN', 'CD', 'seem', 'likely', 'TO', 'soar', 'well', 'IN', 'DT', 'initial', 'CD', 'CD', 'estimate'], ['government', 'unlawful', 'live', 'export', 'ban', 'set', 'TO', 'cost', 'IN', 'CD', 'IN', 'more', 'cattle', 'producer', 'rally', 'IN', 'class', 'action']]"
10162596417319988,"[['IN', 'showpiece', 'event', 'looming', 'DT', 'game', 'IN', 'rugby', 'league', 'be', 'face', 'DT', 'existential', 'threat', 'IN', 'level', 'IN', 'physicality', 'CC', 'DT', 'health', 'IN', 'player'], ['analysis', 'be', 'rugby', 'league', 'face', 'DT', 'existential', 'crisis']]"
10162596414999988,"[['DT', 'social', 'medium', 'company', 'plan', 'TO', 'review', 'DT', 'ban', 'IN', 'DT', 'end', 'IN', 'DT', 'CD', 'year', 'CC', 'MD', 'end', 'DT', 'policy', 'WRB', 'politician', 'be', 'exempt', 'IN', 'hate', 'speech', 'rule'], ['facebook', 'ban', 'donald', 'trump', 'IN', 'CD', 'year', 'IN', 'public', 'safety']]"
10162596413329988,"[['DT', 'reserve', 'bank', 'be', 'throw', 'just', 'IN', 'everything', 'PRP', 'have', 'IN', 'boost', 'wage', 'CC', 'inflation', 'CC', 'DT', 'PRP', 'seem', 'TO', 'be', 'achieve', 'be', 'surge', 'asset', 'price', 'far', 'widen', 'DT', 'gap', 'IN', 'DT', 'have', 'CC'], ['analysis', 'be', 'future', 'pay', 'rise', 'destine', 'IN', 'DT', 'pocket', 'IN', 'investor']]"
10162596412019988,"[['public', 'housing', 'tower', 'resident', 'WP', 'endure', 'DT', 'nation', 'harsh', 'hard', 'lockdown', 'last', 'year', 'say', 'PRP', 'be', 'concerned', 'not', 'enough', 'have', 'be', 'do', 'IN', 'victorian', 'authority', 'TO', 'support', 'DT', 'community', 'IN', 'DT', 'melbourne', 'outbreak'], ['public', 'housing', 'resident', 'threaten', 'IN', 'delta', 'cluster', 'call', 'IN', 'increase', 'tower', 'cleaning']]"
10162596410434988,"[['IN', 'chinese', 'authority', 'push', 'urban', 'couple', 'TO', 'have', 'CD', 'child', 'TO', 'boost', 'DT', 'country', 'ail', 'fertility', 'rate', 'young', 'people', 'counter', 'IN', 'DT', 'lifestyle', 'centre', 'IN', 'minimise', 'spending', 'work', 'CC', 'socialise'], ['china', 'want', 'more', 'baby', 'CC', 'young', 'people', 'be', 'lie', 'flat']]"
10162596409349988,"[['naomi', 'moran', 'leave', 'high', 'school', 'TO', 'work', 'IN', 'indigenous', 'medium'], ['now', 'shes', 'DT', 'manager', 'IN', 'DT', 'koori', 'mail', 'CC', 'chair', 'IN', 'DT', 'peak', 'body', 'IN', 'indigenous', 'broadcasting', 'medium', 'CC', 'communication'], ['naomi', 'be', 'CD', 'IN', 'indigenous', 'medias', 'most', 'important', 'voice'], ['heres', 'WRB', 'PRP', 'want', 'TO', 'empower', 'young', 'woman']]"
10162596408014988,"[['CD', 'year', 'IN', 'DT', 'fire', 'rip', 'IN', 'DT', 'grenfell', 'tower', 'IN', 'london', 'IN', 'june', 'CD', 'claim', 'CD', 'life', 'EX', 'be', 'fresh', 'fear', 'IN', 'DT', 'opaque', 'nature', 'IN', 'australia', 'build', 'product', 'safety', 'approval', 'process'], ['could', 'DT', 'grenfell', 'tower', 'CD', 'disaster', 'happen', 'IN', 'australia'], ['CD', 'politician', 'fear', 'there', 's', 'DT', 'way', 'TO', 'properly', 'check']]"
10162596404899988,"[['bias', 'ramadhan', 'receive', 'call', 'IN', 'CD', 'separate', 'law', 'firm', 'offer', 'TO', 'sue', 'IN', 'behalf', 'IN', 'mother', 'die', 'IN', 'DT', 'lion', 'air', 'plane', 'crash'], ['CC', 'CD', 'CC', 'CD', 'year', 'later', 'he', 'have', 'TO', 'sue', 'again', 'TO', 'get', 'DT', 'IN', 'DT', 'money', 'owe', 'TO', 'PRP', 'IN', 'settlement'], ['IN', 'DT', 'plane', 'crash', 'DT', 'real', 'housewife', 'CC', 'DT', 'missing', 'million', 'WRB', 'indonesian', 'family', 'claim', 'DT', 'la', 'lawyer', 'embezzle', 'money']]"
10162596403349988,"[['DT', 'last', 'fortnight', 'have', 'hardly', 'be', 'consistent', 'IN', 'DT', 'morrison', 'strategy', 'IN', 'win', 'DT', 'election', 'base', 'IN', 'excellent', 'management', 'IN', 'DT', 'pandemic', 'write', 'laura', 'tingle'], ['analysis', 'DT', 'picture', 'emerge', 'IN', 'morrison', 'government', 'late', 'TO', 'DT', 'party', 'CC', 'not', 'IN', 'control']]"
10162596401499988,"[['DT', 'government', 'say', 'housing', 'MD', 'always', 'be', 'support', 'IN', 'last', 'budget', 'CC', 'PRP', 'be', 'DT', 'bold', 'claim', 'write', 'yogi', 'vidyattama', 'CC', 'john', 'hawkins'], ['analysis', 'looking', 'TO', 'buy', 'DT', 'house'], ['heres', 'WP', 'DT', 'government', 'do', 'TO', 'make', 'PRP', 'possible', 'hint', 'not', 'much']]"
10162594878674988,"[['global', 'food', 'price', 'be', 'IN', 'high', 'level', 'IN', 'nearly', 'DT', 'decade', 'IN', 'may', 'soar', 'CD', 'IN', 'cent', 'IN', 'cost', 'DT', 'year', 'ago', 'DT', 'un', 'food', 'CC', 'agriculture', 'organization', 'have', 'say'], ['un', 'say', 'global', 'food', 'price', 'have', 'reach', 'high', 'mark', 'IN', 'DT', 'decade', 'DT', 'un', 'food', 'CC', 'agriculture', 'organization', 'say', 'global', 'food', 'price', 'be', 'IN', 'high', 'level', 'IN', 'nearly', 'DT', 'decade', 'IN', 'may', 'soar', 'CD', 'IN', 'cent', 'IN', 'cost', 'DT', 'year', 'ago']]"
